@relation stock

@attribute Date date "yyyy-MM-dd"
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric

@data
1962-01-02,6.413,6.413,6.3378,6.3378
1962-01-03,6.3378,6.3963,6.3378,6.3963
1962-01-04,6.3963,6.3963,6.3295,6.3295
1962-01-05,6.3211,6.3211,6.1958,6.2041
1962-01-08,6.2041,6.2041,6.0373,6.087
1962-01-09,6.1208,6.2376,6.1208,6.1621
1962-01-10,6.1707,6.2041,6.1707,6.1707
1962-01-11,6.1875,6.2376,6.1875,6.2376
1962-01-12,6.2543,6.2962,6.2543,6.2543
1962-01-15,6.2708,6.2962,6.2708,6.2792
1962-01-16,6.2708,6.2708,6.2128,6.2128
1962-01-17,6.1875,6.1875,6.0956,6.1125
1962-01-18,6.1291,6.1875,6.1291,6.1291
1962-01-19,6.1291,6.1457,6.0624,6.1374
1962-01-22,6.1374,6.1958,6.1208,6.1208
1962-01-23,6.1208,6.1291,6.0538,6.0624
1962-01-24,6.0624,6.0956,6.0287,6.0956
1962-01-25,6.0956,6.1457,6.0208,6.0287
1962-01-26,6.0287,6.0538,5.9951,5.9951
1962-01-29,5.9951,6.0373,5.8952,5.8952
1962-01-30,5.8952,5.9285,5.8201,5.8201
1962-01-31,5.8784,6.0036,5.8784,6.0036
1962-02-01,6.0703,6.1621,6.0703,6.1457
1962-02-02,6.1457,6.1875,6.1208,6.1875
1962-02-05,6.1875,6.1875,6.0703,6.104
1962-02-06,6.104,6.1208,6.087,6.1125
1962-02-07,6.1208,6.1542,6.1208,6.1208
1962-02-08,6.1208,6.1542,6.1208,6.1208
1962-02-09,6.1208,6.1707,6.0956,6.1707
1962-02-12,6.1707,6.2209,6.1621,6.1707
1962-02-13,6.1707,6.1793,6.0703,6.0703
1962-02-14,6.0703,6.0956,6.0538,6.0624
1962-02-15,6.0624,6.0624,6.0373,6.0373
1962-02-16,6.0373,6.0624,6.0373,6.0373
1962-02-19,6.0373,6.0624,5.9622,5.9703
1962-02-20,5.9787,6.0036,5.9787,5.9787
1962-02-21,5.9787,6.0208,5.9285,5.9285
1962-02-23,5.937,5.9622,5.937,5.9537
1962-02-26,5.9537,5.9537,5.9201,5.9285
1962-02-27,5.9285,5.9787,5.8952,5.937
1962-02-28,5.937,5.9537,5.9119,5.9537
1962-03-01,5.9703,6.0208,5.9703,6.0208
1962-03-02,6.0703,6.104,6.0703,6.0703
1962-03-05,6.0703,6.0703,6.0287,6.0538
1962-03-06,6.0538,6.079,6.0373,6.0538
1962-03-07,6.0538,6.079,6.0373,6.079
1962-03-08,6.079,6.087,6.0373,6.087
1962-03-09,6.0956,6.1291,6.0956,6.1291
1962-03-12,6.1291,6.1457,6.104,6.1208
1962-03-13,6.1208,6.1208,6.0956,6.1208
1962-03-14,6.1208,6.1374,6.0956,6.104
1962-03-15,6.104,6.1374,6.0956,6.0956
1962-03-16,6.0956,6.1208,6.0956,6.1208
1962-03-19,6.1374,6.1621,6.1374,6.1374
1962-03-20,6.1291,6.1291,6.104,6.104
1962-03-21,6.104,6.1208,6.087,6.104
1962-03-22,6.087,6.087,6.0373,6.0373
1962-03-23,6.0454,6.0703,6.0454,6.0624
1962-03-26,6.0624,6.087,6.0538,6.0624
1962-03-27,6.0454,6.0454,5.937,5.9454
1962-03-28,5.9537,5.9951,5.9537,5.9787
1962-03-29,5.9787,6.0036,5.9622,5.9622
1962-03-30,5.9537,5.9537,5.8784,5.9037
1962-04-02,5.9037,5.9037,5.8282,5.8282
1962-04-03,5.8201,5.8201,5.6195,5.6781
1962-04-04,5.6781,5.7283,5.6528,5.6528
1962-04-05,5.6867,5.7782,5.6867,5.7782
1962-04-06,5.7782,5.8201,5.7283,5.7698
1962-04-09,5.7698,5.8036,5.7283,5.7782
1962-04-10,5.7782,5.7949,5.7453,5.7949
1962-04-11,5.7949,5.8453,5.7197,5.7197
1962-04-12,5.7197,5.7283,5.6614,5.6614
1962-04-13,5.6614,5.7453,5.6528,5.7453
1962-04-16,5.7453,5.7782,5.6781,5.7367
1962-04-17,5.7367,5.7616,5.7116,5.7616
1962-04-18,5.7616,5.8115,5.7453,5.7533
1962-04-19,5.7533,5.7782,5.7283,5.7533
1962-04-23,5.7533,5.7616,5.7283,5.7453
1962-04-24,5.7453,5.7866,5.7367,5.7453
1962-04-25,5.7453,5.7616,5.6781,5.6781
1962-04-26,5.6781,5.6781,5.5361,5.5361
1962-04-27,5.5361,5.5946,5.319,5.3774
1962-04-30,5.3774,5.4276,4.9849,5.0353
1962-05-01,5.0353,5.1519,4.7679,5.1189
1962-05-02,5.2104,5.3608,5.2104,5.2356
1962-05-03,5.2356,5.3608,5.2021,5.3441
1962-05-04,5.3441,5.3858,5.294,5.3858
1962-05-07,5.3858,5.4276,5.2689,5.2689
1962-05-08,5.2607,5.2607,5.0937,5.0937
1962-05-09,5.0937,5.1436,4.9849,5.0017
1962-05-10,5.0017,5.0937,4.9766,5.0184
1962-05-11,5.0184,5.1018,4.9183,4.9431
1962-05-14,4.9431,5.0353,4.8597,5.0353
1962-05-15,5.0353,5.1355,5.0099,5.0099
1962-05-16,5.0099,5.0937,5.0099,5.0685
1962-05-17,5.0685,5.0685,4.9519,4.9766
1962-05-18,4.9766,5.0017,4.9349,5.0017
1962-05-21,5.0017,5.0017,4.9431,4.9849
1962-05-22,4.9849,4.9849,4.8182,4.8182
1962-05-23,4.8182,4.8514,4.6008,4.6008
1962-05-24,4.6008,4.7179,4.4089,4.4089
1962-05-25,4.4089,4.509,4.3005,4.4171
1962-05-28,4.4004,4.4004,3.9329,3.9997
1962-05-29,4.0497,4.2919,4.0497,4.2417
1962-05-31,4.3251,4.4341,4.3251,4.3504
1962-06-01,4.3339,4.3339,4.2417,4.267
1962-06-04,4.2084,4.2084,3.9913,3.9913
1962-06-05,3.9913,4.1415,3.9163,4.0332
1962-06-06,4.0332,4.1668,4.0165,4.0497
1962-06-07,4.0749,4.1415,4.0749,4.1
1962-06-08,4.1,4.1668,4.1,4.1169
1962-06-11,4.1169,4.1249,3.9747,3.9829
1962-06-12,3.9329,3.9329,3.7159,3.7159
1962-06-13,3.7159,3.7993,3.5738,3.5738
1962-06-14,3.5738,3.6741,3.3235,3.3901
1962-06-15,3.3901,3.7073,3.3316,3.6992
1962-06-18,3.6992,3.7658,3.5155,3.6572
1962-06-19,3.6572,3.7241,3.6156,3.7241
1962-06-20,3.7241,3.7993,3.6321,3.6321
1962-06-21,3.5906,3.5906,3.4905,3.4987
1962-06-22,3.4987,3.5655,3.4402,3.5489
1962-06-25,3.5489,3.7241,3.4987,3.6824
1962-06-26,3.6824,3.7577,3.5489,3.5489
1962-06-27,3.5489,3.6908,3.5489,3.6908
1962-06-28,3.7159,3.8662,3.7159,3.8163
1962-06-29,3.8163,3.8492,3.749,3.7577
1962-07-02,3.7577,3.8828,3.749,3.8828
1962-07-03,3.8828,3.9246,3.8578,3.8996
1962-07-05,3.8996,3.9163,3.8662,3.8828
1962-07-06,3.8329,3.8329,3.791,3.8243
1962-07-09,3.8243,3.8828,3.7828,3.8828
1962-07-10,3.9496,4.0079,3.9496,3.9747
1962-07-11,3.9747,4.15,3.9579,4.15
1962-07-12,4.1581,4.3171,4.1581,4.2
1962-07-13,4.2,4.2252,4.1249,4.1668
1962-07-16,4.1668,4.2417,4.1249,4.2417
1962-07-17,4.2417,4.2585,4.1,4.1
1962-07-18,4.1,4.1249,4.0165,4.0497
1962-07-19,4.0667,4.1668,4.0667,4.0749
1962-07-20,4.083,4.1415,4.083,4.1249
1962-07-23,4.1249,4.1753,4.1169,4.1334
1962-07-24,4.1083,4.1083,4.0249,4.0249
1962-07-25,4.0249,4.083,3.9747,4.0749
1962-07-26,4.0916,4.1334,4.0916,4.0916
1962-07-27,4.0916,4.1668,4.0916,4.1668
1962-07-30,4.192,4.2919,4.192,4.2919
1962-07-31,4.2919,4.3589,4.2919,4.2919
1962-08-01,4.2755,4.2755,4.1668,4.1668
1962-08-02,4.1753,4.2755,4.1753,4.2755
1962-08-03,4.2755,4.2919,4.2335,4.267
1962-08-06,4.267,4.2839,4.2084,4.2084
1962-08-07,4.2084,4.2084,4.1334,4.1334
1962-08-08,4.1334,4.2417,4.1083,4.2335
1962-08-09,4.2252,4.2252,4.1581,4.1753
1962-08-10,4.1753,4.2084,4.1581,4.1668
1962-08-13,4.1668,4.2084,4.1668,4.2
1962-08-14,4.2,4.2755,4.192,4.2755
1962-08-15,4.2839,4.3669,4.2839,4.2839
1962-08-16,4.2839,4.3504,4.2755,4.2839
1962-08-17,4.2839,4.3421,4.2755,4.3171
1962-08-20,4.3421,4.4004,4.3421,4.3669
1962-08-21,4.3669,4.4089,4.3421,4.3504
1962-08-22,4.3589,4.5591,4.3589,4.5339
1962-08-23,4.5339,4.6008,4.5173,4.5506
1962-08-24,4.5506,4.5591,4.5173,4.5339
